Line,Line2,glucose.low,glucose.high,glucose.main,glycogen.low,glycogen.high,glycogen.main,glycerol.low,glycerol.high,glycerol.main,triglycerides.low,triglycerides.high,triglycerides.main,protein.low,protein.high,protein.main,load.low,load.high,load.main,meanweight.low,meanweight.high,meanweight.main
822,line_822,1.3853,3.65395,1.35585,14.7651,18.0439,13.0274,4.8878,3.83892,4.7921,14.5074,25.6395,15.4588,4.8103,5.01836,4.6779,16.3327,15.9882,15.8012,742.2796,720.3484,738.0984
83,line_83,1.7131,3.61635,1.4178,12.9927,18.5897,12.2999,4.806,4.2917,5.0039,12.4423,24.921,13.512,4.6523,5.07591,4.5755,10.4886,12.3598,10.9716,764.9956,737.5336,759.1844
832,line_832,1.530085,4.0835,1.44906,13.8776,19.0415,13.2113,4.8267,4.5929,5.1963,11.4179,19.7735,9.7365,4.56502,4.9361,4.38895,15.7359,15.7086,15.4222,807.9802,805.2822,817.1708
837,line_837,1.42845,4.961,1.55705,15.1818,20.1679,14.6281,4.3208,3.83805,4.3598,13.4295,26.9304,15.37,4.2974,5.0049,4.1961,12.73517,12.6896,12.2886,695.6891,738.3377,721.8933
85,line_85,1.55085,4.594,1.5304,14.5596,18.7559,13.3994,4.7787,4.7141,5.3223,9.6598,20.8507,9.0906,4.56399,5.5299,4.8868,10.5319,12.7698,11.1469,793.5706,782.734,801.4057
852,line_852,1.3869,4.05971,1.4159,12.5409,16.4453,10.7452,4.1481,3.2782,3.8851,11.7381,24.4145,12.7117,4.2233,4.5692,3.7737,14.8851,15.1268,14.572,703.7063,633.9837,672.4369
853,line_853,1.47925,3.6788,1.379,14.5773,18.848,13.4509,4.9598,3.8578,4.8585,15.4923,27.9222,17.4601,4.510595,4.802,4.2267,14.2692,14.5922,13.9248,784.1808,747.1586,774.8528
855,line_855,1.2785,2.925,1.2265,12.0773,15.8824,10.1561,4.8241,3.537,4.54705,12.7654,18.205,9.729,4.389,4.7886,4.1073,12.4872,13.56398,12.6078,749.8682,676.8921,719.1375
857,line_857,1.6713,3.7015,1.4225,14.8007,16.1716,12.07669,4.8,3.3128,4.3993,11.6322,17.5124,8.7982,4.58562,4.765,4.2614,11.7986,13.7803,12.5174,827.0911,722.8855,785.5952
861,line_861,1.21975,3.5346,1.30125,11.4683,15.7706,9.5889,4.4357,4.315,4.7397,9.8053,21.1046,9.4329,4.3104,4.6115,3.888,12.3762,12.3927,11.8496,646.0732,700.4078,675.1814
879,line_879,1.2093,3.39,1.28055,9.6178,15.7724,8.5728,4.4582,3.3834,4.1858,10.3519,26.316,12.7314,4.1675,4.7872,3.8998,13.8801,14.5823,13.8422,695.9916,638.3942,670.4923
88,line_88,1.47215,3.459,1.343,12.0393,15.6416,9.8026,5.0374,3.9886,4.9943,12.916,23.6506,13.1611,4.43537,5.3675,4.6136,11.0579,12.4924,11.3076,742.4819,716.2565,735.8905
882,line_882,1.6539,NA,1.46771,12.8105,NA,11.579,4.5197,NA,4.4584,15.4017,NA,15.9335,4.1617,NA,4.049,14.2146,14.8254,14.0949,745.4058,NA,740.1498
884,line_884,1.6557,4.33265,1.5117,11.295,16.7092,10.1587,4.675698,3.75098,4.5767,12.7017,22.6949,12.4774,4.41777,5.18124,4.45007,13.7965,13.7671,13.3004,730.8841,710.3781,726.7204
890,line_890,1.59885,4.3582,1.5037,10.8328,14.4299,8.4755,5.1561,4.0505,5.1262,13.4093,24.7242,14.1312,4.1054,5.18896,4.1696,12.5376,13.2697,12.4208,769.0288,735.7449,760.6751
892,line_892,1.72435,5.5715,1.71615,10.0419,16.5649,9.351,4.59571,4.3076,4.857,12.769,21.319,11.7646,4.6453,5.01092,4.52039,12.3608,11.9983,11.7517,804.0473,768.4624,796.7124
894,line_894,1.4628,4.644,1.51775,12.9544,17.71248,11.7703,4.202,3.1946,3.8714,9.3945,20.291,8.6685,4.176,4.8814,3.98,11.9458,13.52678,12.1856,728.5401,726.6544,733.6287
897,line_897,1.4238,4.0987,1.42925,11.0062,15.789,9.4178,4.3823,3.7356,4.3282,10.86016,25.0329,12.3873,4.0953,4.9838,3.9636,13.2557,13.1825,12.6222,703.4794,689.2715,699.9511
907,line_907,1.42835,4.968,1.55765,12.1894,14.6353,9.3788,4.70213,3.2264,4.2718,15.5948,21.9089,14.1952,4.509297,4.7735,4.1982,11.6738,12.7518,11.7581,769.5841,679.3891,731.6944
908,line_908,1.4052,3.8065,1.382,15.4954,18.759,13.909,4.818,4.2629,4.9954,15.6227,30.1419,18.7823,4.1922,4.9055,4.0145,10.8941,12.2746,11.0551,667.9069,715.9624,694.9434
91,line_91,1.49502,3.9666,1.42415,11.706,18.9337,11.7385,4.786,3.7615,4.66368,10.5805,24.6617,11.9782,4.54987,5.4037,4.7481,15.077,13.61477,14.0369,786.879,762.6063,784.0919
911,line_911,1.4061,4.51295,1.4861,16.6792,19.5681,15.1196,4.7612,3.7134,4.6153,12.3943,20.7174,11.1448,4.3234,5.0289,4.2354,10.9238,11.5471,10.6856,794.7702,740.7144,777.1134
93,line_93,1.76135,NA,1.49445,12.924,NA,11.5463,5.321,NA,5.2956,10.81675,NA,11.0548,4.9755,NA,5.0141,15.8176,NA,15.3195,834.9318,NA,815.146
Line,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
