CAPTURE_ROUND_ID,YEAR,SEASON,DATE,TIME,MINUTES_AFTER_SUNRISE,PROPERTY_ID,PROPERTY_TYPE,RECAPTURE,BAND_NUMBER,SPECIES,SEX,MASS (g),MAX WING CHORD (mm),TAIL (mm),BILL_HEAD (mm),BILL_LENGTH (mm),BILL_WIDTH (mm),BILL_DEPTH (mm),TARSUS_SHORT (mm),TARSUS_LONG (mm),FAT SCORE ,AVIAN POX LESIONS PRESENT,SALMONELLA,DUST RUFFLE PERFORMED,ECTOPARASITES DETECTED,MITES_PRESENT,MITES_ABUNDANCE,LICE_PRESENT,LICE_ABUNDANCE,FAECAL SAMPLE COLLECTED,COCCIDIA_PRESENT,COCCIDIA_ABUNDANCE,HELMINTHS_PRESENT,HELMINTHS_ABUNDANCE
A2,2013,Autumn,8/03/13,8:30,77,HINE,Nonfeeding,,D203920,Eurasian blackbird,F,95.5,121,101,51,21.2,5.6,6.9,33.7,36.8,2,0,,Yes,0,0,0,0,0,Yes,1,2,1,2
A2,2013,Autumn,8/03/13,8:50,97,HINE,Nonfeeding,,D203921,Eurasian blackbird,Juvenile,91.5,127,98,52,22,5.9,7.2,31.8,36,3,0,,Yes,0,0,0,0,0,Yes,0,0,1,4
A2,2013,Autumn,8/03/13,11:20,247,HINE,Nonfeeding,,D203922,Eurasian blackbird,Juvenile,96.5,127,105,52.7,23.1,5.5,7.1,33.5,38.3,1,0,,Yes,0,0,0,0,0,Yes,0,0,0,0
A2,2013,Autumn,11/03/13,8:55,100,FAIR,Nonfeeding,,D203923,Eurasian blackbird,M,101.5,137,109,53.7,23.7,5.7,7.7,35.8,39.3,0,0,,Yes,0,0,0,0,0,Yes,1,151,0,0
A2,2013,Autumn,11/03/13,9:50,155,FAIR,Nonfeeding,,D203924,Eurasian blackbird,F,96,122,98,51.6,20.9,5.9,7.4,33.5,37.8,2,0,,Yes,0,0,0,0,0,Yes,0,0,0,0
A2,2013,Autumn,11/03/13,14:30,435,FAIR,Nonfeeding,,D203925,Eurasian blackbird,F,92.5,,98,,,,,33.4,38,,0,,,,,,,,,,,,
A2,2013,Autumn,12/03/13,8:00,44,FAIR,Nonfeeding,,D203926,Eurasian blackbird,F,81.6,121,96,51.9,21.6,5.6,7.3,33.3,37,0,0,,Yes,0,0,0,0,0,,,,,
A2,2013,Autumn,13/03/13,9:40,143,HOLY,Feeding,Recapture,D203913,Eurasian blackbird,F,89,,,50.6,20.5,5.4,8,32,36.2,2,0,,Yes,1,0,0,1,1,,,,,
A2,2013,Autumn,13/03/13,12:45,328,HOLY,Feeding,,D203927,Eurasian blackbird,F,98.75,126,102,52.7,21.2,5.9,7.1,35.4,39.1,2,0,,Yes,0,0,0,0,0,Yes,0,0,0,0
A2,2013,Autumn,15/03/13,13:00,341,HINE,Nonfeeding,,D205051,Eurasian blackbird,M,95,127,99,52,23.3,5.6,7.4,33.6,36.8,1,0,,Yes,1,0,0,1,1,Yes,0,0,0,0
A2,2013,Autumn,18/03/13,11:45,263,DEUX,Feeding,,D205052,Eurasian blackbird,M,95,125,106,52.5,20.7,6,7.1,33.4,37,3,0,,Yes,0,0,0,0,0,Yes,1,1360,0,0
A2,2013,Autumn,18/03/13,14:22,420,DEUX,Feeding,,D205053,Eurasian blackbird,M,94,121,105.5,51.5,21.7,6,6.9,32.9,37,1,0,,,,,,,,,,,,
A2,2013,Autumn,18/03/13,15:05,463,DEUX,Feeding,,D205054,Eurasian blackbird,Juvenile,102,130,106,54.4,22.3,6.4,6.9,34.8,39.5,1,0,,,,,,,,,,,,
A2,2013,Autumn,19/03/13,8:00,37,DEUX,Feeding,,D205055,Eurasian blackbird,F,93,128,107,52.7,21.9,5.6,7.2,35.6,39.1,0,0,,,,,,,,,,,,
A2,2013,Autumn,21/03/13,12:05,281,FORD,Feeding,Recapture,D203936,Eurasian blackbird,F,98.3,126,89,52,21.8,5.7,9.2,34.4,39,1,0,,,,,,,,Yes,0,0,0,0
A2,2013,Autumn,21/03/13,7:45,21,FORD,Feeding,,D205056,Eurasian blackbird,F,92,122,96,51,22.4,6.6,7.1,34.2,38.4,1,0,,,,,,,,Yes,0,0,1,77
A2,2013,Autumn,21/03/13,8:45,81,FORD,Feeding,,D205057,Eurasian blackbird,M,92.2,129,94,50.9,20.4,5.6,6.7,33.2,37.1,1,0,,,,,,,,,,,,
A2,2013,Autumn,22/03/13,12:40,315,BAYS,Nonfeeding,,D205058,Eurasian blackbird,M,99.5,125,97,53.6,21.5,5.8,7.6,32.9,37.7,2,0,,Yes,0,0,0,0,0,,,,,
A2,2013,Autumn,25/03/13,13:30,362,FAIR,Nonfeeding,,D205059,Eurasian blackbird,M,97.25,122,97,52.3,20.5,5.3,6.9,33,37.2,2,0,,Yes,0,0,0,0,0,,,,,
A2,2013,Autumn,26/03/13,10:05,156,MCDO,Nonfeeding,Recapture,D134121,Eurasian blackbird,M,95.25,129,102,53.3,20.6,5.4,7.3,35.1,38.4,1,0,,Yes,1,0,0,1,7,,,,,
A2,2013,Autumn,26/03/13,10:10,161,MCDO,Nonfeeding,,D205060,Eurasian blackbird,F,90,122,98,51.7,21.2,5.5,6.9,35.3,38.1,0,0,,Yes,1,0,0,1,3,Yes,0,0,1,13
A2,2013,Autumn,26/03/13,8:57,88,MCDO,Nonfeeding,,D205090,Eurasian blackbird,M,95.5,130,104,51.6,20.4,5.4,7.4,32.8,37.1,1,0,,Yes,0,0,0,0,0,,,,,
A2,2013,Autumn,12/04/13,15:30,526,HOLY,Feeding,,D205061,Eurasian blackbird,F,99.5,124,99,53.5,22,6,7.6,34.1,38.5,2,0,,,,,,,,Yes,1,330,1,150
S2,2013,Spring,13/08/13,15:33,506,BAYS,Nonfeeding,Recapture,D203917,Eurasian blackbird,F,96,125,92,53.9,23.7,5.7,7.2,33.8,37.8,2,0,,Yes,0,0,0,0,0,Yes,1,43,0,0
