OID,Seal,Year,Month,Day,X,Y,Zone
135,1,2000,4,19,1748569.21603,-391919.769617,Kara Sea
136,1,2000,4,23,1734346.54393,-435637.740941,Kara Sea
137,1,2000,4,23,1736851.61668,-425540.406312,Kara Sea
138,1,2000,4,23,1746259.54081,-402085.843057,Kara Sea
139,2,2000,4,23,1748226.53574,-393445.534692,Kara Sea
140,2,2000,4,23,1748226.53574,-393445.534692,Kara Sea
141,2,2000,4,23,1755482.43259,-368871.649862,Kara Sea
142,1,2000,4,23,1755482.43259,-368871.649862,Kara Sea
143,3,2000,4,23,1758797.3836,-362095.723005,Kara Sea
144,3,2000,4,23,1763915.27207,-355667.707424,Kara Sea
145,2,2000,4,23,1766260.28102,-353467.960437,Kara Sea
146,1,2000,4,23,1770840.88287,-349565.43523,Kara Sea
147,2,2000,4,23,1773077.59076,-347863.993181,Kara Sea
148,4,2000,4,23,1775513.89379,-345124.939553,Kara Sea
149,3,2000,4,23,1811205.32708,-337322.198827,Kara Sea
150,3,2000,4,23,1811205.32708,-337322.198827,Kara Sea
151,2,2000,4,23,1815171.72201,-336422.193344,Kara Sea
152,5,2000,4,23,1815171.72201,-336422.193344,Kara Sea
153,1,2000,4,23,1823202.08078,-334072.015514,Kara Sea
154,3,2000,4,23,1827168.50646,-333151.021162,Kara Sea
155,1,2000,4,23,1827168.50646,-333151.021162,Kara Sea
156,3,2000,4,23,1829200.11868,-332422.001047,Kara Sea
157,2,2000,4,23,1833070.0246,-332023.741339,Kara Sea
158,4,2000,4,23,1833070.0246,-332023.741339,Kara Sea
159,22,2000,4,23,1848458.02546,-330925.048394,Kara Sea
160,8,2000,4,23,1846618.29126,-330595.685152,Kara Sea
161,16,2000,4,23,1846618.29126,-330595.685152,Kara Sea
162,1,2000,4,23,1863372.41409,-332476.440933,Kara Sea
163,2,2000,4,23,1856010.70825,-331162.911904,Kara Sea
164,1,2000,4,24,1834399.07563,-863854.53335,Kara Sea
165,1,2000,4,24,1827732.15384,-847112.922984,Kara Sea
166,4,2000,4,24,1827270.44139,-839162.888075,Kara Sea
167,1,2000,4,24,1827755.39552,-833598.30123,Kara Sea
168,1,2000,4,24,1790354.65492,-774755.642513,Kara Sea
169,1,2000,4,24,1776328.88454,-755226.806019,Kara Sea
170,1,2000,4,24,1775287.6983,-748085.88736,Kara Sea
171,1,2000,4,24,1773780.81168,-746843.384881,Kara Sea
172,1,2000,4,24,1770548.94197,-744876.356646,Kara Sea
173,1,2000,4,24,1758694.73404,-739287.192549,Kara Sea
174,1,2000,4,24,1753720.59494,-731799.66695,Kara Sea
175,4,2000,4,24,1751752.79445,-726794.036581,Kara Sea
176,2,2000,4,24,1722734.96038,-689044.824315,Kara Sea
177,1,2000,4,25,1831460.72833,-1219893.65559,Barents Sea
178,1,2000,4,25,1843253.82969,-1198548.2185,Barents Sea
179,3,2000,4,25,1840377.15935,-1171697.07837,Barents Sea
180,1,2000,4,25,1840829.44266,-1167474.89252,Barents Sea
181,1,2000,4,25,1833424.9135,-1136771.60864,Kara Sea
182,1,2000,4,26,1827732.15384,-847112.922984,Kara Sea
183,1,2000,4,26,1826034.65106,-828326.054186,Kara Sea
184,1,2000,4,26,1825256.77678,-820941.188482,Kara Sea
185,1,2000,4,27,1718045.7733,-670413.849152,Kara Sea
186,1,2000,4,27,1700616.93953,-653373.326548,Kara Sea
187,1,2000,4,27,1689682.21225,-568093.767109,Kara Sea
188,1,2000,4,27,1692796.1733,-558746.474071,Kara Sea
189,1,2000,4,27,1692796.1733,-558746.474071,Kara Sea
190,2,2000,4,27,1693768.79109,-555791.137872,Kara Sea
191,1,2000,4,27,1693768.79109,-555791.137872,Kara Sea
192,1,2000,4,27,1694896.99059,-552341.106464,Kara Sea
193,1,2000,4,27,1697132.30291,-545434.187643,Kara Sea
194,1,2000,4,27,1697132.30291,-545434.187643,Kara Sea
195,1,2000,4,27,1697132.30291,-545434.187643,Kara Sea
196,1,2000,4,27,1699025.88401,-539506.767397,Kara Sea
197,2,2000,4,27,1700743.48104,-534067.522243,Kara Sea
198,2,2000,4,27,1702135.83659,-529613.161089,Kara Sea
199,1,2000,4,28,1698239.40645,-541977.328869,Kara Sea
200,1,2000,4,28,1698868.87598,-540000.97116,Kara Sea
201,1,2000,4,28,1706061.73956,-523223.834693,Kara Sea
202,1,2000,4,28,1706392.96056,-515732.072647,Kara Sea
203,1,2000,4,28,1708627.01547,-508281.643001,Kara Sea
204,2,2000,4,28,1709217.27127,-506293.221572,Kara Sea
205,1,2000,4,28,1710682.78513,-501319.175059,Kara Sea
206,1,2000,4,28,1713284.22458,-492355.22991,Kara Sea
207,1,2000,4,28,1714709.17732,-487369.412094,Kara Sea
208,4,2000,4,28,1715557.18532,-484375.939222,Kara Sea
209,2,2000,4,28,1716119.62089,-482379.470359,Kara Sea
210,4,2000,4,28,1718475.91712,-480884.978642,Kara Sea
211,2,2000,4,28,1719173.51809,-478385.048986,Kara Sea
212,3,2000,4,28,1726024.901,-460335.136115,Kara Sea
213,3,2000,4,28,1726692.60546,-457824.248646,Kara Sea
214,6,2000,4,28,1727224.1392,-455814.84111,Kara Sea
215,2,2000,4,28,1728280.19072,-451794.177437,Kara Sea
216,3,2000,4,28,1732171.07489,-444208.895761,Kara Sea
217,3,2000,4,28,1732686.76274,-442193.122955,Kara Sea
218,2,2000,4,28,1734726.04914,-434124.072376,Kara Sea
219,1,2000,4,28,1734726.04914,-434124.072376,Kara Sea
220,2,2000,4,28,1735981.52382,-429076.129273,Kara Sea
221,1,2000,4,28,1739281.16584,-423455.081173,Kara Sea
222,4,2000,4,28,1740383.80696,-418900.207773,Kara Sea
223,2,2000,4,28,1741112.27462,-415862.028526,Kara Sea
224,4,2000,4,28,1741715.27964,-413329.244408,Kara Sea
225,4,2000,4,28,1742672.42354,-409274.97339,Kara Sea
226,3,2000,4,28,1743502.1831,-405725.667361,Kara Sea
227,9,2000,4,28,1746493.16933,-401069.842449,Kara Sea
228,14,2000,4,28,1747074.6543,-398529.247786,Kara Sea
229,15,2000,4,28,1753746.61885,-377038.011424,Kara Sea
230,3,2000,4,28,1754619.27672,-372955.840499,Kara Sea
231,28,2000,4,28,1755696.73632,-367850.289215,Kara Sea
232,5,2000,4,28,1757843.393,-366698.997646,Kara Sea
233,11,2000,4,28,1760835.34268,-361447.586932,Kara Sea
234,4,2000,4,28,1761150.09468,-359910.830782,Kara Sea
235,1,2000,4,28,1763708.05449,-356693.851483,Kara Sea
236,7,2000,4,28,1766054.3428,-354495.46914,Kara Sea
237,7,2000,4,28,1768704.79518,-350747.677739,Kara Sea
238,2,2000,4,28,1769415.32655,-347145.485509,Kara Sea
239,4,2000,4,28,1775413.4259,-345641.401,Kara Sea
240,1,2000,4,30,1768295.48453,-352805.421322,Kara Sea
241,1,2000,5,1,1835150.13192,-1086746.31751,Kara Sea
242,2,2000,5,1,1834119.47685,-1081097.70314,Kara Sea
243,1,2000,5,1,1835008.38422,-1075875.62998,Kara Sea
244,2,2000,5,1,1836505.57647,-1069587.06967,Kara Sea
245,1,2000,5,1,1835921.85729,-1036600.6644,Kara Sea
246,2,2000,5,1,1747128.07659,-703521.956148,Kara Sea
247,1,2000,5,1,1729542.41827,-687103.23772,Kara Sea
248,1,2000,5,1,1711630.57926,-676530.867421,Kara Sea
249,1,2000,5,1,1701978.71687,-655033.100832,Kara Sea
250,1,2000,5,1,1697132.00704,-652034.42307,Kara Sea
251,1,2000,5,1,1694403.32841,-648724.539634,Kara Sea
252,2,2000,5,1,1684385.26373,-616953.116956,Kara Sea
253,1,2001,2,11,1542017.33456,-473895.511362,Kara Sea
254,1,2001,2,12,1619385.17363,-500767.297207,Kara Sea
255,1,2001,2,22,1808877.34839,-339611.532401,Kara Sea
256,1,2001,2,23,1439028.98646,-448666.864443,Kara Sea
257,1,2001,2,23,1441451.854,-447123.010698,Kara Sea
258,2,2001,2,23,1445646.07725,-446120.137415,Kara Sea
259,1,2001,2,23,1462297.73725,-442422.157614,Kara Sea
260,1,2001,3,2,1251648.99402,-686678.15238,Franz Josef Land
261,1,2001,4,22,1618117.9952,-369112.645455,Kara Sea
262,1,2001,4,22,1549444.64063,-352499.196655,Kara Sea
263,1,2001,4,22,1627511.38028,-369761.513523,Kara Sea
264,1,2001,4,28,1723155.78197,-359462.908103,Kara Sea
265,1,2001,4,28,1796422.44583,-335109.720813,Kara Sea
266,1,2001,4,29,1279789.40528,-553372.396217,Franz Josef Land
267,1,2001,4,29,1291002.69344,-516799.903002,Kara Sea
268,1,2001,4,29,1293622.66522,-515230.924113,Kara Sea
269,2,2001,4,30,1407970.7963,-390023.833623,Kara Sea
270,1,2001,4,30,1403107.27168,-350267.484898,Kara Sea
271,1,2001,5,4,1568654.79565,-368406.099203,Kara Sea
272,3,2001,5,4,1566845.37419,-367981.1479,Kara Sea
273,1,2001,5,4,1588671.18349,-372619.462067,Kara Sea
274,2,2001,5,4,1565249.58814,-366645.6486,Kara Sea
275,1,2001,5,4,1521365.87118,-350302.841369,Kara Sea
276,1,2001,5,4,1598487.20941,-363167.383689,Kara Sea
277,1,2001,5,4,1495618.12258,-337966.526673,Kara Sea
278,1,2001,5,4,1457881.40698,-319646.968106,Kara Sea
279,1,2001,5,4,1448564.35354,-310104.580487,Kara Sea
280,4,2001,5,4,1449013.85007,-307997.401783,Kara Sea
281,1,2001,5,4,1411373.8741,-297851.935088,Kara Sea
282,1,2001,5,5,1374781.89154,-424251.755683,Kara Sea
283,1,2001,5,5,1377729.79645,-408102.15812,Kara Sea
284,1,2001,5,8,1599450.30115,-367302.484516,Kara Sea
285,1,2001,5,8,1588787.96793,-363881.020573,Kara Sea
286,2,2001,5,8,1577662.62399,-354095.219376,Kara Sea
287,1,2001,5,8,1574342.92395,-351907.336664,Kara Sea
288,1,2001,5,8,1478578.80188,-329147.010892,Kara Sea
289,1,2001,5,8,1657427.37116,-363903.641609,Kara Sea
290,1,2001,5,8,1652077.56813,-362225.338222,Kara Sea
291,1,2001,5,8,1666945.42686,-363960.858866,Kara Sea
292,1,2001,5,8,1689953.50013,-363323.12789,Kara Sea
293,2,2001,5,9,1709456.86071,-370118.194093,Kara Sea
294,1,2001,5,9,1711493.78459,-369516.961065,Kara Sea
295,1,2001,5,9,1721035.36213,-369481.682284,Kara Sea
296,1,2001,5,9,1733325.42123,-356326.091491,Kara Sea
297,1,2001,5,9,1737599.01318,-354044.91483,Kara Sea
298,1,2001,5,9,1774380.37399,-341156.546185,Kara Sea
299,1,2001,5,9,1784337.22896,-338767.007796,Kara Sea
300,8,2001,5,9,1788398.62103,-337382.659587,Kara Sea
301,1,2001,5,9,1790331.11125,-337207.934291,Kara Sea
302,5,2001,5,9,1786662.33499,-336516.922189,Kara Sea
303,1,2001,5,9,1805990.49736,-334720.553936,Kara Sea
304,3,2001,5,9,1813627.92284,-334499.276211,Kara Sea
305,1,2001,5,9,1821364.69399,-333735.344383,Kara Sea
306,1,2001,5,9,1825233.78554,-333346.879024,Kara Sea
307,3,2001,5,9,1842553.90648,-332081.13301,Kara Sea
308,4,2001,5,9,1861821.01659,-330523.418693,Kara Sea
309,3,2001,5,9,1878778.00114,-331279.252362,Kara Sea
310,1,2001,5,10,1281395.0538,-783190.491858,Barents Sea
311,2,2001,5,10,1401978.42589,-472726.060631,Kara Sea
312,2,2001,5,10,1419315.62035,-437090.475183,Kara Sea
313,2,2001,5,10,1419823.23733,-435438.730963,Kara Sea
314,2,2001,5,10,1420202.68863,-434199.535803,Kara Sea
315,1,2001,5,10,1422228.7162,-433914.356363,Kara Sea
316,3,2001,5,10,1427160.802,-430432.303423,Kara Sea
317,1,2001,5,10,1430059.73444,-427225.393649,Kara Sea
318,1,2001,5,10,1432828.3049,-424423.079875,Kara Sea
319,2,2001,5,10,1434976.90125,-423697.745416,Kara Sea
320,1,2001,5,10,1436879.06402,-423805.015205,Kara Sea
321,1,2001,5,10,1444329.4552,-411428.068184,Kara Sea
322,1,2001,5,10,1447424.11149,-407306.910957,Kara Sea
323,1,2001,5,10,1448602.79384,-403094.807593,Kara Sea
324,1,2001,5,10,1446588.86445,-367386.769322,Kara Sea
325,1,2001,5,10,1447015.35904,-365703.338434,Kara Sea
326,1,2001,5,10,1447015.35904,-365703.338434,Kara Sea
327,1,2001,5,10,1445958.06469,-362305.392954,Kara Sea
328,1,2001,5,10,1448073.0234,-361492.600097,Kara Sea
329,1,2001,5,10,1450815.013,-358144.803245,Kara Sea
330,1,2001,5,10,1452928.01557,-357321.519283,Kara Sea
331,1,2001,5,10,1453446.18171,-355207.94395,Kara Sea
332,3,2001,5,10,1455866.40519,-353107.838721,Kara Sea
333,1,2001,5,10,1464914.89811,-347191.208757,Kara Sea
334,1,2001,5,10,1467123.42644,-345912.17196,Kara Sea
335,3,2002,4,27,1281124.29546,-625768.959674,Franz Josef Land
336,8,2002,4,27,1279966.33078,-619678.834247,Franz Josef Land
337,1,2002,4,28,1480714.20043,-458357.612025,Kara Sea
338,1,2002,4,28,1519061.39169,-440369.945042,Kara Sea
339,1,2002,4,29,1604990.38412,-422558.703992,Kara Sea
340,1,2002,4,29,1611492.54273,-419762.366059,Kara Sea
341,5,2002,4,30,1745588.3306,-361493.964937,Kara Sea
342,5,2002,4,30,1750701.99802,-355123.796063,Kara Sea
343,2,2002,4,30,1757317.40366,-350615.105007,Kara Sea
344,4,2002,4,30,1775614.21144,-344608.448902,Kara Sea
345,4,2002,4,30,1784139.84034,-339805.035728,Kara Sea
346,40,2002,4,30,1818268.68145,-329889.070239,Kara Sea
347,4,2002,4,30,1829489.51505,-330825.596435,Kara Sea
348,100,2002,4,30,1825812.80531,-330160.739008,Kara Sea
349,2,2002,4,30,1845066.1431,-328656.337043,Kara Sea
350,2,2002,5,4,1808312.00593,-332431.123299,Kara Sea
351,7,2002,5,4,1816430.93667,-329555.647614,Kara Sea
352,8,2002,5,4,1831327.9839,-331158.04576,Kara Sea
353,6,2002,5,4,1829489.51505,-330825.596435,Kara Sea
354,7,2002,5,4,1825812.80531,-330160.739008,Kara Sea
355,1,2002,5,4,1837325.00487,-329483.544887,Kara Sea
356,1,2002,5,4,1871315.08387,-330524.635286,Kara Sea
357,3,2002,5,8,1649468.10183,-390424.394156,Kara Sea
358,1,2002,5,8,1659096.68436,-390156.076135,Kara Sea
359,1,2002,5,8,1664762.44069,-390466.505321,Kara Sea
360,5,2002,5,8,1683236.86199,-384997.42183,Kara Sea
361,1,2002,5,8,1694808.24492,-384532.573237,Kara Sea
362,1,2002,5,8,1710580.39843,-382360.020173,Kara Sea
363,3,2002,5,9,1615351.49579,-412248.386698,Kara Sea
364,3,2002,10,15,1796692.79207,-323276.058074,Kara Sea
365,1,2002,10,15,1806163.41637,-323353.14502,Kara Sea
366,2,2002,10,15,1806163.41637,-323353.14502,Kara Sea
